FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry,latitude,longitude,annee_creation,region,type,statut,nom
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e6c,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Institut Polytechnique Mandela,BP 331 Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1316620082651503 8.98707926173109),1.1316620082651503,8.98707926173109,2021.0,Centrale,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique Mandela
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e6b,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Quartier Administratifs,Mediatheque de Sokode,BP 484 Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2006,Prive - individuel,{Construit et Utilise},BTS,{Latrines a eau},Non,POINT (1.1387333333333336 8.981995000000001),1.1387333333333336,8.981995000000001,2006.0,Centrale,BTS,Prive - individuel,Mediatheque de Sokode
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e6a,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Institut Technique d'Enseignement Commercial Kouvahey - Agoe (ITEC-K Agoe),BP 13514,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.19967990537648 6.233929347883608),1.19967990537648,6.233929347883608,2002.0,Maritime,Formation Professionnelle autre,Nsp,Institut Technique d'Enseignement Commercial Kouvahey - Agoe (ITEC-K Agoe)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e69,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Institut Polytechnique Pythagore,300 BP 32 - Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - individuel,{En construction},Formation Professionnelle autre,{WCs},Non,POINT (1.1282746761518994 8.989769448238212),1.1282746761518994,8.989769448238212,2010.0,Centrale,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique Pythagore
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e68,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,N/a,Institut Technique mon Parcours,"Institut Technique Mon Parcours, Agoe Nyive 6","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{Inacheve},Formation Professionnelle autre,{WCs},Oui,POINT (1.2314571805477887 6.305637730478873),1.2314571805477887,6.305637730478873,2021.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique mon Parcours
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e67,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Bariki,Lycée d'Enseignement Technique et Professionnel de Sokode,BP 56,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1922,Foncier National - terre de l'etat Non allouee,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Oui,POINT (1.1330612492185734 8.975389466467744),1.1330612492185734,8.975389466467744,1922.0,Centrale,Formation Professionnelle autre,Foncier National - terre de l'etat Non allouee,Lycée d'Enseignement Technique et Professionnel de Sokode
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e66,Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,Tare,Maison Familliala de Formation Rurale de Lama Tessi,BP 268,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2009,Prive - Collectivite coutumiere,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.0724123203117628 8.849648309984342),1.0724123203117628,8.849648309984342,2009.0,Centrale,Formation Professionnelle autre,Prive - Collectivite coutumiere,Maison Familliala de Formation Rurale de Lama Tessi
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e65,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kossigan,Institut Technique le Brillant,"Institut Technique le Brillant, Agoe Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Nsp,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1869537006709552 6.233618423376539),1.1869537006709552,6.233618423376539,,Maritime,Formation Professionnelle autre,Nsp,Institut Technique le Brillant
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e64,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Laouwai,Institut Polytechnique Techno Plus,320 BP 32 - Sotouboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (0.9833948115332448 8.566553217453633),0.9833948115332448,8.566553217453633,2004.0,Centrale,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique Techno Plus
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e63,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Centre d'Enseignement Technique (CET) Perfect,BP 12 Sotouboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2009,autre,{Construit et Utilise},CAP,"{WCs,Douches}",Oui,POINT (0.9893207951227089 8.57876403423633),0.9893207951227089,8.57876403423633,2009.0,Centrale,CAP,autre,Centre d'Enseignement Technique (CET) Perfect
