FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry,latitude,longitude,annee_creation,region,type,statut,nom
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e24,Maritime,Golfe,Golfe 3,Bè-Ouest,Lome Forever,Centre de Formation Professionnelle Hotelière Ancilla,555 avenue des kondona,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,autre,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau,Douches}",Non,POINT (1.2309247104495866 6.161124128853013),1.2309247104495866,6.161124128853013,1999.0,Maritime,Formation Professionnelle autre,autre,Centre de Formation Professionnelle Hotelière Ancilla
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e23,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,IETFPg la Plenitude Lycée,11 BP 238,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2564230133171577 6.159679000120811),1.2564230133171577,6.159679000120811,2012.0,Maritime,Formation Professionnelle autre,Prive - individuel,IETFPg la Plenitude Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e22,Maritime,Golfe,Golfe 2,Bè-Centre,Attiegou,Institut Technique Nouvelle Vision,"It Nouvelle Vision, Be-Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.258400173990558 6.20080959265813),1.258400173990558,6.20080959265813,2010.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique Nouvelle Vision
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e21,Maritime,Golfe,Golfe 2,Bè-Centre,Kegue,Nouvelle Institution de Comptabilité Africaine (Nica),BP 2123,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2426197317565488 6.201332793347559),1.2426197317565488,6.201332793347559,2000.0,Maritime,Formation Professionnelle autre,Prive - individuel,Nouvelle Institution de Comptabilité Africaine (Nica)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e20,Maritime,Golfe,Golfe 2,Bè-Centre,Attiègou,Lycée d'Enseignement Technique et Professionnel d'Attiegou,"LETP Attiegou, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.2588440143612523 6.19658276225689),1.2588440143612523,6.19658276225689,2007.0,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Lycée d'Enseignement Technique et Professionnel d'Attiegou
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e1f,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Centre d'Etudes et de Formation Professionnelles (CEFOP) Asa,BP 7838,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1996,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Nsp,POINT (1.1678811957014386 6.191622501696184),1.1678811957014386,6.191622501696184,1996.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre d'Etudes et de Formation Professionnelles (CEFOP) Asa
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e1e,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Madikpeto,institut Polyvalent Laïc les Dinosaures,"IPL les Dinosaures, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1401896687546131 6.263683607776947),1.1401896687546131,6.263683607776947,2020.0,Maritime,Formation Professionnelle autre,Prive - individuel,institut Polyvalent Laïc les Dinosaures
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e1d,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Centre d'Apprentissage Maria - Auxilliadora,BP 304 Bé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1989,Prive - individuel,{Construit et Utilise},CAP,{WCs},Oui,POINT (1.2674356609017046 6.147806849617014),1.2674356609017046,6.147806849617014,1989.0,Maritime,CAP,Prive - individuel,Centre d'Apprentissage Maria - Auxilliadora
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e1c,Maritime,Golfe,Golfe 1,Bè-Est,Ablogame ( Requins Place N 1),USTI Lomé,BP 3596,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Inacheve},CAP,{WCs},Non,POINT (1.2587313342773665 6.141353337050141),1.2587313342773665,6.141353337050141,2000.0,Maritime,CAP,Prive - individuel,USTI Lomé
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e1b,Maritime,Golfe,Golfe 1,Bè-Est,Agoe Nyvie,Institut Technique et Commercial Sainte Monique,16 BP344,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2006,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2379116666666663 6.212906743362116),1.2379116666666663,6.212906743362116,2006.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique et Commercial Sainte Monique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e1a,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Lycée d'Enseignement Technique et Professionnel de Lome,BP 1337 Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1977,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.161554217107063 6.1913455411761),1.161554217107063,6.1913455411761,1977.0,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Lycée d'Enseignement Technique et Professionnel de Lome
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e19,Maritime,Golfe,Golfe 2,Bè-Centre,Attiegou,Institut Technique Jesus le Bon Berger,"It Jesus le Bon Berger, Be-Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.2645836293942383 6.197907860578614),1.2645836293942383,6.197907860578614,,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique Jesus le Bon Berger
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e18,Maritime,Golfe,Golfe 1,Bè-Est,Attiegou,Institut Agla etoile du Matin Lycée Technique,"Institut Agla etoile du Matin Lycee Technique, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Oui,POINT (1.273281037371682 6.17877995618378),1.273281037371682,6.17877995618378,2018.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Agla etoile du Matin Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e17,Maritime,Golfe,Golfe 1,Bè-Est,Attiegou,Complexe Scolaire Edison Lycée Technique,"Cs Edison Lycee Technique, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2724150568321022 6.178967263345439),1.2724150568321022,6.178967263345439,2012.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Edison Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e16,Maritime,Golfe,Golfe 1,Bè-Est,Kegue,Institut Technique Blessing,"It Blessing, Agoe Nyvie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{En construction},BTS,{Latrines a eau},Non,POINT (1.24114417179209 6.220359322419128),1.24114417179209,6.220359322419128,2016.0,Maritime,BTS,Prive - individuel,Institut Technique Blessing
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e15,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Segbe Zanvi,Institut Technique la Grande Royale Lycée,"It la Grande Royale Lycee, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau}",Non,POINT (1.1207333220785816 6.197521780922631),1.1207333220785816,6.197521780922631,2013.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique la Grande Royale Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e14,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Institut Technique et Commercial Amou Fred Lycée,"Itec Amou-Fred Lycee, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.261605005996565 6.164817180783547),1.261605005996565,6.164817180783547,2016.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique et Commercial Amou Fred Lycée
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e13,Maritime,Golfe,Golfe 4,Amoutivé,Casablanca,Centre d'Etudes Techniques et Commerciales (CETEC),01 BP 2390,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1971,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.2000345449261127 6.154880233052323),1.2000345449261127,6.154880233052323,1971.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre d'Etudes Techniques et Commerciales (CETEC)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e12,Maritime,Golfe,Golfe 2,Bè-Centre,Nukafui,Institut des Sciences Commerciales,BP 1405,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1977,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2411883333333336 6.153980000000001),1.2411883333333336,6.153980000000001,1977.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut des Sciences Commerciales
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e11,Maritime,Golfe,Golfe 1,Bè-Est,Be-sousanedime,Centre de Formation Academique et Professionnelle,06 BP 62419,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2458033333333336 6.13949),1.2458033333333336,6.13949,2011.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre de Formation Academique et Professionnelle
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e10,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Institut Supérieur le Technocrate,04 BP94,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1992,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.170868587524907 6.183629411880674),1.170868587524907,6.183629411880674,1992.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Supérieur le Technocrate
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e0f,Maritime,Golfe,Golfe 3,Bè-Ouest,N/a,Institut Technique et Commercial Saint Sauveur,"Institut Technique Commerciale Saint Sauveur, Amoutive","{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",Nsp,N/a,Nsp,Nsp,Nsp,Nsp,POINT (1.2044954373456291 6.159093441247918),1.2044954373456291,6.159093441247918,,Maritime,Nsp,N/a,Institut Technique et Commercial Saint Sauveur
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e0e,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame Dabada Condji,Complexe Scolaire Item Adakpame Lycée Technique,"Cs Item Adakpame Lycee Technique, Be","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.280712450307813 6.1778796247680425),1.280712450307813,6.1778796247680425,2008.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Item Adakpame Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e0d,Maritime,Golfe,Golfe 6,Baguida,Adamavo,Complexe Scolaire Eureka Adamavo Lycée Technique,BP 60582,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.3097633333333332 6.177028333333334),1.3097633333333332,6.177028333333334,2001.0,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire Eureka Adamavo Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e0c,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Adidogome Gblinkomegan,Centre de Formation Professionnelle ONG Amept,BP 80 207,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1581010771785276 6.183131826645879),1.1581010771785276,6.183131826645879,1999.0,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Professionnelle ONG Amept
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e0b,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Ecole Supérieure du Torousime et d'Hotellerie Stella Matutina,BP 60180,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.2394988324141256 6.178306788405852),1.2394988324141256,6.178306788405852,2005.0,Maritime,Formation Professionnelle autre,Prive - individuel,Ecole Supérieure du Torousime et d'Hotellerie Stella Matutina
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e0a,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,Govie,Centre de Formation Technique et Professionnelle de Kpele Govie,"Cftp Kpele Govie, Govie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Non,POINT (0.7358049999999996 7.153153333333336),0.7358049999999996,7.153153333333336,1999.0,Plateaux,CAP,Domaine public de l'etat ou des collectivites territoriales,Centre de Formation Technique et Professionnelle de Kpele Govie
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e09,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Gnamassignan,Complexe Scolaire la Croyance Lycée Technique,"Non loin du lycée de Sogbossito, Agoé Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1784483333333333 6.256113333333333),1.1784483333333333,6.256113333333333,2017.0,Maritime,Formation Professionnelle autre,autre,Complexe Scolaire la Croyance Lycée Technique
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e08,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Vogome,Institut Polytechnique du Golfe Zanguera,04 BP94 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1095641523747954 6.231672183166394),1.1095641523747954,6.231672183166394,2016.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Polytechnique du Golfe Zanguera
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e07,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Minamadou,ONG United We Stand,"Station Minamadou 2, Agoe Assiyeye, Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.19207324641745 6.224618511111613),1.19207324641745,6.224618511111613,2016.0,Maritime,Formation Professionnelle autre,Prive - individuel,ONG United We Stand
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e06,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope,Centre de Formation Hôtelière du Service traiteur Agbemegno,06 BP 195 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2005,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1792035131151182 6.230562923671664),1.1792035131151182,6.230562923671664,2005.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre de Formation Hôtelière du Service traiteur Agbemegno
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e05,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wougome Dekpo,Institut Technique Regard Miséricordieux de Dieu,"It Regard Miséricordieux de Dieu, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.108489126344069 6.2188414674098516),1.108489126344069,6.2188414674098516,2017.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut Technique Regard Miséricordieux de Dieu
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e04,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Demakpoe,Centre de Formation Professionnelle et Hotelière La Pigeonnette,"Cfph La Pigeonnette, Agoe Nyive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2018052725055108 6.236202717875156),1.2018052725055108,6.236202717875156,2002.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre de Formation Professionnelle et Hotelière La Pigeonnette
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e03,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Wonyome,Institut Africain le Leadership,"It Africain le Leadership, Aflao Sagbado","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2006,Prive - individuel,{Construit et Utilise},BTS,{WCs},Non,POINT (1.1552410236954378 6.192488756112211),1.1552410236954378,6.192488756112211,2006.0,Maritime,BTS,Prive - individuel,Institut Africain le Leadership
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e02,Maritime,Golfe,Golfe 5,Aflao-Gakli,Wessome,Institut de Formation en Alternance pour le Développement (IFAD) - Bâtiment,"IFAD Batiment, Aflao-Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Domaine public de l'etat ou des collectivites territoriales,{En construction},Formation Professionnelle autre,"{WCs,autre}",Oui,POINT (1.165328944618766 6.190516738024905),1.165328944618766,6.190516738024905,2021.0,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Institut de Formation en Alternance pour le Développement (IFAD) - Bâtiment
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e01,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,IFAP Annexe,15 BP 370,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2019,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1163137335027176 6.231001599799953),1.1163137335027176,6.231001599799953,2019.0,Maritime,Formation Professionnelle autre,Prive - individuel,IFAP Annexe
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5e00,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Adidogome,Hotel Ecole Carrington,"Hotel Ecole Carrington, Aflao-Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1639949999999994 6.181653333333332),1.1639949999999994,6.181653333333332,2007.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Hotel Ecole Carrington
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5dff,Maritime,Golfe,Golfe 2,Bè-Centre,Noukafou,Cerfer du Conseil de L Entente,"01 BP 1369 - 1704,Bd de la paix, Lomé","{Lundi,Mardi,jeudi,Mercredi,Vendredi}",1970,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.242954038676502 6.156608659544977),1.242954038676502,6.156608659544977,1970.0,Maritime,Formation Professionnelle autre,Domaine public de l'etat ou des collectivites territoriales,Cerfer du Conseil de L Entente
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5dfe,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Hôtel École Concordia,"Hôtel École Concordia, Aflao Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1511058741533915 6.197940876227048),1.1511058741533915,6.197940876227048,,Maritime,Formation Professionnelle autre,Prive - individuel,Hôtel École Concordia
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5dfd,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Avédji,Ecole de Couture Style Tahiti,"Ecole de Couture Style Tahiti, Aflao Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.1825387866008525 6.205681658848832),1.1825387866008525,6.205681658848832,2016.0,Maritime,Formation Professionnelle autre,Prive - individuel,Ecole de Couture Style Tahiti
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5dfc,Maritime,Golfe,Golfe 6,Baguida,Yovokomé,Patisserie la Manne Doree,"Patisserie La Manne Doree, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.3305142119139017 6.170967603360164),1.3305142119139017,6.170967603360164,2020.0,Maritime,Formation Professionnelle autre,Prive - individuel,Patisserie la Manne Doree
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5dfb,Maritime,Golfe,Golfe 1,Bè-Est,Souza Netime,Hotel Ecole Avenida,"Hotel Ecole Avenida, Be-Est","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1984,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2387439311753747 6.132590518904236),1.2387439311753747,6.132590518904236,1984.0,Maritime,Formation Professionnelle autre,Prive - entreprise,Hotel Ecole Avenida
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5dfa,Maritime,Golfe,Golfe 6,Baguida,Baguida,Ecole de Couture et de Coupe Yesmaol Design,"Ecole de Coupe, de Couture et de Perfectionnement, Baguida","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3335875622216393 6.170212299196357),1.3335875622216393,6.170212299196357,2017.0,Maritime,Formation Professionnelle autre,Prive - individuel,Ecole de Couture et de Coupe Yesmaol Design
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df9,Maritime,Golfe,Golfe 4,Amoutivé,Kodjoviakope,Institut de Formation Bancaire Credo,BP 13604,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2003,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.2058562507167023 6.122456099842378),1.2058562507167023,6.122456099842378,2003.0,Maritime,Formation Professionnelle autre,Prive - individuel,Institut de Formation Bancaire Credo
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df8,Maritime,Golfe,Golfe 5,Aflao-Gakli,Wonyome,Complexe Scolaire la Renovation,BP 6065,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1597789433008565 6.190809052501053),1.1597789433008565,6.190809052501053,,Maritime,Formation Professionnelle autre,Prive - individuel,Complexe Scolaire la Renovation
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df7,Maritime,Golfe,Golfe 2,Bè-Centre,Aéroport,ESAMOD,BP 60434,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1993,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2399104670574812 6.158453492760486),1.2399104670574812,6.158453492760486,1993.0,Maritime,Formation Professionnelle autre,Prive - individuel,ESAMOD
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df6,Maritime,Golfe,Golfe 4,Amoutivé,Tokoin,Institut de Coupe Chris de Mens,BP 7201,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Prive - individuel,{Construit et Utilise},CAP,Nsp,Non,POINT (1.2032893145536996 6.144153614499789),1.2032893145536996,6.144153614499789,2012.0,Maritime,CAP,Prive - individuel,Institut de Coupe Chris de Mens
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df5,Maritime,Golfe,Golfe 6,Baguida,Baguida,Centre d'Apprentissage Sainte Marguerite (CASM),01 BP 3481 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2000,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.3262099999999997 6.177616666666668),1.3262099999999997,6.177616666666668,2000.0,Maritime,Formation Professionnelle autre,Prive - individuel,Centre d'Apprentissage Sainte Marguerite (CASM)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df4,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Cacaveli,Hôtel-Ecole la Savoureuse,BP 31028,"{Lundi,Mardi,Mercredi,Vendredi,jeudi}",2013,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2082238586541718 6.213808929659525),1.2082238586541718,6.213808929659525,2013.0,Maritime,Formation Professionnelle autre,Prive - individuel,Hôtel-Ecole la Savoureuse
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df3,Maritime,Golfe,Golfe 5,Aflao-Gakli,Didjole,Ecole Supérieure des Etudes Cinématographiques (ESEC),BP 326 Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2006,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1950401914369846 6.18234853122998),1.1950401914369846,6.18234853122998,2006.0,Maritime,Formation Professionnelle autre,autre,Ecole Supérieure des Etudes Cinématographiques (ESEC)
_mview_formationtech_etablissements_formation_technique.fid--68fedc3e_19facce1572_-5df2,Maritime,Golfe,Golfe 5,Aflao-Gakli,Soviepe,Centre International de Formation Technique,"Centre International de Formation Technique, Aflao Gakli","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1990,autre,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (1.1807320725520838 6.177118514580362),1.1807320725520838,6.177118514580362,1990.0,Maritime,Formation Professionnelle autre,autre,Centre International de Formation Technique
